normalised_entity,English,Russian,Spanish,Ukrainian,total_mentions
Kyiv,3,3,3,2,11
Russia,3,2,3,3,11
Ukraine,3,0,2,5,10
Volodymyr Zelensky,5,2,0,1,8
UNESCO,3,0,2,3,8
Donald Trump,3,0,1,0,4
Києво-Печерська,0,0,0,4,4
Moscow,2,0,2,0,4
Tymur Tkachenko,1,0,2,0,3
Trump,3,0,0,0,3
Vladimir Putin,2,0,1,0,3
Dormition Cathedral,3,0,0,0,3
Києво-Печерської,0,0,0,3,3
Kharkiv,3,0,0,0,3
France,3,0,0,0,3
Andrii Sybiha,2,0,1,0,3
Успенський собор,0,0,0,2,2
Украине,0,2,0,0,2
Jean-Noël Barrot,1,0,1,0,2
Francia,0,0,2,0,2
Catedral de la Dormición,0,0,2,0,2
Járkov,0,0,2,0,2
Orthodox Church of Ukraine,2,0,0,0,2
Patriot,2,0,0,0,2
Kyiv-Pechersk Lavra,2,0,0,0,2
Pechersk Lavra de Kyiv,0,0,2,0,2
Pechersk Lavra,1,0,1,0,2
Vitali Klitschko,1,0,1,0,2
Tula,2,0,0,0,2
Tkachenko,0,0,2,0,2
Киево-Печерской лавры,0,2,0,0,2
Лавры,0,2,0,0,2
Крайній,0,0,0,2,2
Києво-Печерській,0,0,0,2,2
Минобороны России,0,2,0,0,2
Мария Захарова,0,2,0,0,2
СБУ,0,1,0,1,2
Киево-Печерской лавре,0,2,0,0,2
Cultura Mystetskyi Arsenal,0,0,1,0,1
Crimea,0,0,1,0,1
Cuevas,0,0,1,0,1
"Успенському собору
Російський удар",0,0,0,1,1
Тафійчук,0,0,0,1,1
Тетяна Шаповалова,0,0,0,1,1
Тетяни Бережної,0,0,0,1,1
Complejo del Museo Nacional de Arte,0,0,1,0,1
Chauda,0,0,1,0,1
Catedral de la Dormición del Monasterio de las Cuevas de Kiev,0,0,1,0,1
"Catedral de la Dormición
El",0,0,1,0,1
Kaja Kallas,1,0,0,0,1
Defense Ministry,1,0,0,0,1
Argumenty I Fakty,0,1,0,0,1
Joel Guinto,1,0,0,0,1
Iskander-M,0,0,1,0,1
Iskander-K,0,0,1,0,1
Iran,1,0,0,0,1
Italmas,0,0,1,0,1
CNN,1,0,0,0,1
Briansk,0,0,1,0,1
Banderol,0,0,1,0,1
Bakhmut,1,0,0,0,1
Art Arsenal,1,0,0,0,1
які живі,0,0,0,1,1
Успенському собору,0,0,0,1,1
"Успенському собору
URL:",0,0,0,1,1
Ministry of Culture,1,0,0,0,1
Monasterio de Lavra de Pechersk,0,0,1,0,1
Farouk Chothia,1,0,0,0,1
Gerbera,0,0,1,0,1
Gvardíiske,0,0,1,0,1
Group of Seven,1,0,0,0,1
Handout,1,0,0,0,1
Haremos,0,0,1,0,1
Kyiv Pechersk Lavra,1,0,0,0,1
Kursk,0,0,1,0,1
Komsomolskaya Pravda,0,1,0,0,1
Metropolitan Epiphanius of Kyiv,1,0,0,0,1
Metropolitan Epiphanius,1,0,0,0,1
Lean-культури,0,0,0,1,1
Lavra,0,0,1,0,1
Ministro de Cultura,0,0,1,0,1
Parodia,0,0,1,0,1
Oriol,0,0,1,0,1
Oleksandr Dovzhenko,1,0,0,0,1
Nova Poshta,0,0,1,0,1
Notre-Dame,0,0,1,0,1
Notre Dame,1,0,0,0,1
National Cultural,1,0,0,0,1
NATO,1,0,0,0,1
Mílerovo,0,0,1,0,1
Mystetskyi Arsenal,0,0,1,0,1
Museum Complex,1,0,0,0,1
Kremlin,1,0,0,0,1
Klitschko,0,0,1,0,1
Patrimonio de la Humanidad de la UNESCO,0,0,1,0,1
Patrimonio de la Humanidad,0,0,1,0,1
Ministerio de Defensa,0,0,1,0,1
Russian-,1,0,0,0,1
Shahed,0,0,1,0,1
State Emergency Service of Ukraine,1,0,0,0,1
Sybiha,0,0,1,0,1
T]he,1,0,0,0,1
Poland,1,0,0,0,1
Primorsko-Ajtarsk,0,0,1,0,1
Rozetka,0,0,0,1,1
Perchersk Lavra,1,0,0,0,1
Perchersk-Lavra,1,0,0,0,1
Pechersk,0,0,1,0,1
Vitali Klitchkó,0,0,1,0,1
Vanderlande,0,0,0,1,1
Ursula von der Leyen,1,0,0,0,1
RIA Novosti,0,1,0,0,1
Reino Unido,0,0,1,0,1
Ukrainska Pravda,0,0,0,1,1
United Nations’ Human Rights Monitoring Mission,1,0,0,0,1
US-manufactured,1,0,0,0,1
Ukrainian Culture Ministry,1,0,0,0,1
UN Security Council,1,0,0,0,1
Timur Tkachenko,0,0,1,0,1
Évian,1,0,0,0,1
península ucraniana de,0,0,1,0,1
Украинской православной церкви,0,1,0,0,1
Удар,0,1,0,0,1
Угледар,0,1,0,0,1
Тимур Ткаченко,0,0,0,1,1
Успенского собора,0,1,0,0,1
Українська Правда,0,0,0,1,1
Украину,0,1,0,0,1
Успенського собору,0,0,0,1,1
Vólogda,0,0,1,0,1
White House,1,0,0,0,1
Yulia Svyrydenko,1,0,0,0,1
Zircon,0,0,1,0,1
air defence systems,1,0,0,0,1
catedral de Santiago de Compostela,0,0,1,0,1
catedral de la Dormición,0,0,1,0,1
crucero,0,0,1,0,1
Владимира Зеленского,0,1,0,0,1
Веры,0,1,0,0,1
ВСУ,0,1,0,0,1
Будинок,0,0,0,1,1
Volodímir Zelenski,0,0,1,0,1
Volodimir Zelenski,0,0,1,0,1
Vladimir,1,0,0,0,1
Vitaliy Klitschko,1,0,0,0,1
Александром Ходаковским,0,1,0,0,1
Академікс,0,0,0,1,1
Авраамій,0,0,0,1,1
Європейської ради,0,0,0,1,1
Захаровой,0,1,0,0,1
Захарова,0,1,0,0,1
Западе,0,1,0,0,1
Запада,0,1,0,0,1
Жан-Ноэль Барро,0,1,0,0,1
"ЖК ""Комфорт Таун",0,0,0,1,1
Европы,0,1,0,0,1
Европа,0,1,0,0,1
Всесвітньої,0,0,0,1,1
Всемирного наследия ЮНЕСКО,0,1,0,0,1
Вооруженных сил России,0,1,0,0,1
Военкор Стешин,0,1,0,0,1
Дніпрі,0,0,0,1,1
Добра,0,1,0,0,1
Донбассе,0,1,0,0,1
Другої,0,0,0,1,1
Києва,0,0,0,1,1
Киевскому,0,1,0,0,1
Державній,0,0,0,1,1
ДСНС,0,0,0,1,1
Киево-Печорской Лавре,0,1,0,0,1
Киево-Печорской Лавры,0,1,0,0,1
Киево-Печерской Лавры,0,1,0,0,1
Киево-Печерской,0,1,0,0,1
Киево-Печерская Лавра,0,1,0,0,1
Киева,0,1,0,0,1
Георгий Тихий,0,1,0,0,1
Гаазької,0,0,0,1,1
Зосимы,0,1,0,0,1
Иран,0,1,0,0,1
Зосиме,0,1,0,0,1
Зосима,0,1,0,0,1
МИД Франции,0,1,0,0,1
МИД Украины,0,1,0,0,1
Зеленского,0,1,0,0,1
МОСКВА,0,1,0,0,1
Лаврі,0,0,0,1,1
МИД РФ,0,1,0,0,1
Кущника,0,0,0,1,1
