language,entity_type,entity,mentions
English,locations,Dormition Cathedral,3
English,locations,France,3
English,locations,Kharkiv,3
English,locations,Kyiv,3
English,locations,Russia,3
English,locations,Ukraine,3
English,locations,Moscow,2
English,locations,Tula,2
English,locations,Art Arsenal,1
English,locations,Bakhmut,1
English,locations,Dnipropetrovsk,1
English,locations,Donbas city,1
English,locations,Dormition Cathedral of the Kyiv Pechersk Lavra –,1
English,locations,Iran,1
English,locations,Kremlin,1
English,locations,Kyiv-Pechersk Lavra,1
English,locations,Metropolitan Epiphanius,1
English,locations,Metropolitan Epiphanius of Kyiv,1
English,locations,Museum Complex,1
English,locations,National Cultural,1
English,locations,Notre Dame,1
English,locations,Perchersk-Lavra,1
English,locations,Poland,1
English,locations,Russian-,1
English,locations,T]he,1
English,locations,US-manufactured,1
English,locations,White House,1
English,locations,Évian,1
English,organisations,Orthodox Church of Ukraine,2
English,organisations,Unesco,2
English,organisations,11th Century Dormition Cathedral,1
English,organisations,CNN,1
English,organisations,Defense Ministry,1
English,organisations,European Commission,1
English,organisations,Group of Seven,1
English,organisations,Handout,1
English,organisations,Kyiv Pechersk Lavra,1
English,organisations,Kyiv-Pechersk Lavra,1
English,organisations,Ministry of Culture,1
English,organisations,Nato,1
English,organisations,Pechersk Lavra,1
English,organisations,Perchersk Lavra,1
English,organisations,State Emergency Service of Ukraine,1
English,organisations,Trump,1
English,organisations,UN Security Council,1
English,organisations,UNESCO,1
English,organisations,Ukrainian Culture Ministry,1
English,organisations,United Nations’ Human Rights Monitoring Mission,1
English,organisations,air defence systems,1
English,people,Donald Trump,3
English,people,Andrii Sybiha,2
English,people,Patriot,2
English,people,Trump,2
English,people,Volodymyr Zelensky,2
English,people,Zelensky,2
English,people,Drone,1
English,people,Emmanuel Macron,1
English,people,Farouk Chothia,1
English,people,Jean-Noël Barrot,1
English,people,Joel Guinto,1
English,people,Kaja Kallas,1
English,people,Oleksandr Dovzhenko,1
English,people,Putin,1
English,people,Tymur Tkachenko,1
English,people,Ursula von der Leyen,1
English,people,Vitali Klitschko,1
English,people,Vitaliy Klitschko,1
English,people,Vladimir,1
English,people,Vladimir Putin,1
English,people,Yulia Svyrydenko,1
English,people,Zelenskyy,1
Russian,locations,Киеве,2
Russian,locations,Киево-Печерской лавре,2
Russian,locations,Киево-Печерской лавры,2
Russian,locations,Россию,2
Russian,locations,Украине,2
Russian,locations,Аргументы,1
Russian,locations,Брюсселе,1
Russian,locations,Донбассе,1
Russian,locations,Европа,1
Russian,locations,Европы,1
Russian,locations,Запада,1
Russian,locations,Западе,1
Russian,locations,Зеленский,1
Russian,locations,Иран,1
Russian,locations,Киев,1
Russian,locations,Киева,1
Russian,locations,Киево-Печерская Лавра,1
Russian,locations,Киево-Печерской,1
Russian,locations,Киево-Печерской Лавры,1
Russian,locations,Киево-Печорской Лавре,1
Russian,locations,Киево-Печорской Лавры,1
Russian,locations,Киевскому,1
Russian,locations,Краткий пересказ,1
Russian,locations,Лавру,1
Russian,locations,Лавры,1
Russian,locations,МИД Франции,1
Russian,locations,Оптину,1
Russian,locations,Париж,1
Russian,locations,России,1
Russian,locations,Руси,1
Russian,locations,Руси - «Заповедник»,1
Russian,locations,США,1
Russian,locations,Свято-Успенскую Николо-Васильевскую обитель,1
Russian,locations,Севастополя,1
Russian,locations,Угледар,1
Russian,locations,Удар,1
Russian,locations,Украину,1
Russian,locations,Успенского собора,1
Russian,locations,Факты,1
Russian,locations,Франции,1
Russian,organisations,Минобороны России,2
Russian,organisations,Komsomolskaya Pravda,1
Russian,organisations,RIA Novosti,1
Russian,organisations,ВСУ,1
Russian,organisations,Вооруженных сил России,1
Russian,organisations,Всемирного наследия ЮНЕСКО,1
Russian,organisations,Комсомольская Правда,1
Russian,organisations,МИД РФ,1
Russian,organisations,МИД Украины,1
Russian,organisations,МОСКВА,1
Russian,organisations,Министерства иностранных дел Украины,1
Russian,organisations,РИА Новости,1
Russian,organisations,"РИА ИИ
Заявление Министерства иностранных дел Украины",1
Russian,organisations,СБУ,1
Russian,organisations,Украинской православной церкви,1
Russian,people,Мария Захарова,2
Russian,people,Argumenty I Fakty,1
Russian,people,Александром Ходаковским,1
Russian,people,Веры,1
Russian,people,Владимира Зеленского,1
Russian,people,Военкор Стешин,1
Russian,people,Георгий Тихий,1
Russian,people,Добра,1
Russian,people,Жан-Ноэль Барро,1
Russian,people,Захарова,1
Russian,people,Захаровой,1
Russian,people,Зеленский,1
Russian,people,Зеленского,1
Russian,people,Зосима,1
Russian,people,Зосиме,1
Russian,people,Зосимы,1
Russian,people,Лавры,1
Russian,people,Макрон,1
Russian,people,Православия,1
Russian,people,Слово,1
Russian,people,Сокур,1
Russian,people,Схиархимандриту Зосима,1
Russian,people,Эмманюэль Макрон,1
Spanish,locations,Rusia,3
Spanish,locations,Catedral de la Dormición,2
Spanish,locations,Francia,2
Spanish,locations,Kiev,2
Spanish,locations,Moscú,2
Spanish,locations,Ucrania,2
Spanish,locations,Briansk,1
Spanish,locations,"Catedral de la Dormición
El",1
Spanish,locations,Catedral de la Dormición del Monasterio de las Cuevas de Kiev,1
Spanish,locations,Chauda,1
Spanish,locations,Complejo del Museo Nacional de Arte,1
Spanish,locations,Crimea,1
Spanish,locations,Cuevas,1
Spanish,locations,Cultura Mystetskyi Arsenal,1
Spanish,locations,Europa,1
Spanish,locations,Exteriores de Ucrania,1
Spanish,locations,Gerbera,1
Spanish,locations,Gvardíiske,1
Spanish,locations,Iskander-K,1
Spanish,locations,Iskander-M,1
Spanish,locations,Italmas,1
Spanish,locations,Kursk,1
Spanish,locations,Kyiv,1
Spanish,locations,Lavra,1
Spanish,locations,Ministerio de Defensa,1
Spanish,locations,Ministro de Cultura,1
Spanish,locations,Mystetskyi Arsenal,1
Spanish,locations,Mílerovo,1
Spanish,locations,Notre-Dame,1
Spanish,locations,Nova Poshta,1
Spanish,locations,Oriol,1
Spanish,locations,Parodia,1
Spanish,locations,Patrimonio de la Humanidad,1
Spanish,locations,Patrimonio de la Humanidad de la UNESCO,1
Spanish,locations,Pechersk,1
Spanish,locations,Pechersk Lavra de Kyiv,1
Spanish,locations,Primorsko-Ajtarsk,1
Spanish,locations,Reino Unido,1
Spanish,locations,Shahed,1
Spanish,locations,Sybiha,1
Spanish,locations,Vitali Klitchkó,1
Spanish,locations,Vitali Klitschko,1
Spanish,locations,Zircon,1
Spanish,locations,catedral de Santiago de Compostela,1
Spanish,locations,catedral de la Dormición,1
Spanish,locations,península ucraniana de,1
Spanish,organisations,Administración Militar de la Ciudad de Kyiv,1
Spanish,organisations,Banderol,1
Spanish,organisations,Dormición de Kiev,1
Spanish,organisations,"Dormición de Kiev
El",1
Spanish,organisations,Pechersk Lavra,1
Spanish,organisations,Pechersk Lavra de Kyiv,1
Spanish,organisations,UNESCO,1
Spanish,organisations,Unesco,1
Spanish,people,Járkov,2
Spanish,people,Tkachenko,2
Spanish,people,Tymur Tkachenko,2
Spanish,people,Andrii Sybiha,1
Spanish,people,Dnipró,1
Spanish,people,Donald Trump,1
Spanish,people,Epifanio,1
Spanish,people,Haremos,1
Spanish,people,Jean-Noël Barrot,1
Spanish,people,Klitschko,1
Spanish,people,Monasterio de Lavra de Pechersk,1
Spanish,people,Putin,1
Spanish,people,Timur Tkachenko,1
Spanish,people,Volodimir Zelenski,1
Spanish,people,Volodímir Zelenski,1
Spanish,people,Vólogda,1
Spanish,people,crucero,1
Ukrainian,locations,Києво-Печерська,2
Ukrainian,locations,Київ,2
Ukrainian,locations,України,2
Ukrainian,locations,Україні,2
Ukrainian,locations,Успенський собор,2
Ukrainian,locations,Vanderlande,1
Ukrainian,locations,Європейської ради,1
Ukrainian,locations,Всесвітньої,1
Ukrainian,locations,Гаазької,1
Ukrainian,locations,Дніпрі,1
Ukrainian,locations,Києво-Печерської,1
Ukrainian,locations,Києво-Печерській,1
Ukrainian,locations,Крайній,1
Ukrainian,locations,Кущника,1
Ukrainian,locations,Лаврі,1
Ukrainian,locations,Мистецькому арсеналі,1
