entity,dominant_language,least_present_language,divergence_score,English,Russian,Spanish,Ukrainian
Ukraine,Ukrainian,Russian,5,3,0,2,5
Volodymyr Zelensky,English,Ukrainian,4,5,2,2,1
Києво-Печерська,Ukrainian,English,4,0,0,0,4
France,English,Russian,3,3,0,2,0
UNESCO,English,Russian,3,3,0,2,3
Dormition Cathedral,English,Russian,3,3,0,3,2
Kharkiv,English,Russian,3,3,0,2,0
Trump,English,Russian,3,3,0,0,0
Donald Trump,English,Russian,3,3,0,1,0
Києво-Печерської,Ukrainian,English,3,0,0,0,3
Pechersk Lavra de Kyiv,Spanish,English,2,0,0,2,0
Patriot,English,Russian,2,2,0,0,0
Andrii Sybiha,English,Russian,2,2,0,1,0
Moscow,English,Russian,2,2,0,2,0
Kyiv-Pechersk Lavra,English,Russian,2,2,0,0,0
Vladimir Putin,English,Russian,2,2,0,1,0
Tula,English,Russian,2,2,0,0,0
Orthodox Church of Ukraine,English,Russian,2,2,0,0,0
Крайній,Ukrainian,English,2,0,0,0,2
Киево-Печерской лавре,Russian,English,2,0,2,0,0
Киево-Печерской лавры,Russian,English,2,0,2,0,0
Tymur Tkachenko,Spanish,Russian,2,1,0,2,0
Минобороны России,Russian,English,2,0,2,0,0
Лавры,Russian,English,2,0,2,0,0
Мария Захарова,Russian,English,2,0,2,0,0
Києво-Печерській,Ukrainian,English,2,0,0,0,2
Tkachenko,Spanish,English,2,0,0,2,0
Cultura Mystetskyi Arsenal,Spanish,English,1,0,0,1,0
Cuevas,Spanish,English,1,0,0,1,0
Dnipropetrovsk,English,Russian,1,1,0,0,0
Crimea,Spanish,English,1,0,0,1,0
Farouk Chothia,English,Russian,1,1,0,0,0
Exteriores de Ucrania,Spanish,English,1,0,0,1,0
Group of Seven,English,Russian,1,1,0,0,0
Complejo del Museo Nacional de Arte,Spanish,English,1,0,0,1,0
Dnipró,Spanish,English,1,0,0,1,0
Donbas city,English,Russian,1,1,0,0,0
11th Century Dormition Cathedral,English,Russian,1,1,0,0,0
Defense Ministry,English,Russian,1,1,0,0,0
Drone,English,Russian,1,1,0,0,0
Emmanuel Macron,English,Russian,1,1,0,0,0
Epifanio,Spanish,English,1,0,0,1,0
Europa,Spanish,English,1,0,0,1,0
European Commission,English,Russian,1,1,0,0,0
European Pravda,Ukrainian,English,1,0,0,0,1
Dormición de Kiev,Spanish,English,1,0,0,1,0
Dormition Cathedral of the Kyiv Pechersk Lavra –,English,Russian,1,1,0,0,0
Komsomolskaya Pravda,Russian,English,1,0,1,0,0
Klitschko,Spanish,English,1,0,0,1,0
Kaja Kallas,English,Russian,1,1,0,0,0
Joel Guinto,English,Russian,1,1,0,0,0
Italmas,Spanish,English,1,0,0,1,0
Jean-Noël Barrot,English,Russian,1,1,0,1,0
Iskander-M,Spanish,English,1,0,0,1,0
Iskander-K,Spanish,English,1,0,0,1,0
Gvardíiske,Spanish,English,1,0,0,1,0
Iran,English,Russian,1,1,0,0,0
Haremos,Spanish,English,1,0,0,1,0
Handout,English,Russian,1,1,0,0,0
Gerbera,Spanish,English,1,0,0,1,0
Kyiv Pechersk Lavra,English,Russian,1,1,0,0,0
Kyiv,English,Ukrainian,1,3,3,3,2
Kremlin,English,Russian,1,1,0,0,0
Mystetskyi Arsenal,Spanish,English,1,0,0,1,0
Museum Complex,English,Russian,1,1,0,0,0
Monasterio de Lavra de Pechersk,Spanish,English,1,0,0,1,0
Mílerovo,Spanish,English,1,0,0,1,0
Notre-Dame,Spanish,English,1,0,0,1,0
NATO,English,Russian,1,1,0,0,0
National Cultural,English,Russian,1,1,0,0,0
Notre Dame,English,Russian,1,1,0,0,0
Metropolitan Epiphanius,English,Russian,1,1,0,0,0
